zip,primary_city,acceptable_cities,state,county,latitude,longitude,estimated_population,notes
95486,Villa Grande,,CA,Sonoma County,38.47,-123.03,0,
95487,Vineburg,,CA,Sonoma County,38.25,-122.45,470,
95488,Westport,,CA,Mendocino County,39.72,-123.77,0,
95490,Willits,,CA,Mendocino County,39.49,-123.36,9434,
95492,Windsor,,CA,Sonoma County,38.53,-122.81,23814,
95493,Witter Springs,"Upper Lake, Witter Spgs",CA,Lake County,39.2,-122.98,0,
95494,Yorkville,,CA,Mendocino County,38.88,-123.29,0,
95497,The Sea Ranch,,CA,Sonoma County,38.7,-123.44,411,
95501,Eureka,,CA,Humboldt County,40.8,-124.15,14321,
95502,Eureka,,CA,Humboldt County,40.81,-124.08,2818,
95503,Eureka,,CA,Humboldt County,40.71,-124.11,16695,
95511,Alderpoint,,CA,Humboldt County,40.18,-123.6,0,
95514,Blocksburg,,CA,Humboldt County,40.31,-123.65,0,
95518,Arcata,,CA,Humboldt County,40.86,-124.08,1402,
95519,Mckinleyville,,CA,Humboldt County,40.94,-124.02,12766,
95521,Arcata,"Mc Kinleyville, Mckinleyville",CA,Humboldt County,40.85,-124.05,10982,
95524,Bayside,,CA,Humboldt County,40.81,-124.01,1740,
95525,Blue Lake,,CA,Humboldt County,40.96,-123.85,1405,
95526,Bridgeville,"Mad River, Ruth",CA,Humboldt County,40.42,-123.52,0,
95527,Burnt Ranch,,CA,Trinity County,40.95,-123.43,0,
95528,Carlotta,,CA,Humboldt County,40.48,-123.95,754,
95531,Crescent City,,CA,Del Norte County,41.78,-124.16,14062,
95532,Crescent City,,CA,Del Norte County,41.75,-124.2,0,
95534,Cutten,Eureka,CA,Humboldt County,40.79,-124.15,0,
95536,Ferndale,,CA,Humboldt County,40.45,-124.26,2338,
95537,Fields Landing,Fields Ldg,CA,Humboldt County,40.72,-124.21,0,
95538,Fort Dick,Crescent City,CA,Del Norte County,41.83,-124.16,0,
95540,Fortuna,,CA,Humboldt County,40.57,-124.15,9910,
95542,Garberville,,CA,Humboldt County,40.22,-123.97,1468,
95543,Gasquet,,CA,Del Norte County,41.84,-123.85,494,
95545,Honeydew,,CA,Humboldt County,40.25,-124.13,0,
95546,Hoopa,,CA,Humboldt County,41.11,-123.64,1777,
95547,Hydesville,,CA,Humboldt County,40.56,-124.07,1029,
95548,Klamath,,CA,Del Norte County,41.59,-124.06,716,
95549,Kneeland,,CA,Humboldt County,40.67,-123.88,635,
95550,Korbel,,CA,Humboldt County,40.76,-123.82,0,
95551,Loleta,,CA,Humboldt County,40.68,-124.22,1088,
95552,Mad River,,CA,Trinity County,40.37,-123.44,0,
95553,Miranda,,CA,Humboldt County,40.21,-123.86,585,
95554,Myers Flat,,CA,Humboldt County,40.27,-123.82,0,
95555,Orick,,CA,Humboldt County,41.35,-124.04,0,
95556,Orleans,,CA,Humboldt County,41.31,-123.61,0,
95558,Petrolia,,CA,Humboldt County,40.24,-124.21,0,
95559,Phillipsville,,CA,Humboldt County,40.18,-123.76,0,
95560,Redway,,CA,Humboldt County,40.15,-123.89,1680,
95562,Rio Dell,,CA,Humboldt County,40.46,-124.13,2147,
95563,Salyer,,CA,Humboldt County,40.86,-123.55,0,
95564,Samoa,,CA,Humboldt County,40.79,-124.19,0,
95565,Scotia,,CA,Humboldt County,40.42,-124.01,853,
95567,Smith River,,CA,Del Norte County,41.93,-124.08,1663,
95568,Somes Bar,,CA,Siskiyou County,41.47,-123.46,0,
95569,Redcrest,,CA,Humboldt County,40.37,-123.84,0,
95570,Trinidad,,CA,Humboldt County,41.13,-124.04,1922,
95571,Weott,,CA,Humboldt County,40.31,-123.92,0,
95573,Willow Creek,,CA,Humboldt County,40.94,-123.65,1299,
95585,Leggett,,CA,Mendocino County,39.87,-123.69,0,
95587,Piercy,,CA,Mendocino County,39.95,-123.74,0,
95589,Whitethorn,,CA,Humboldt County,40.07,-123.92,712,
95595,Zenia,,CA,Trinity County,40.16,-123.4,0,
95601,Amador City,,CA,Amador County,38.43,-120.84,0,
95602,Auburn,,CA,Placer County,39,-121.09,13927,
95603,Auburn,,CA,Placer County,38.92,-121.07,20376,
95604,Auburn,Bowman,CA,Placer County,38.9,-121.06,3024,
95605,West Sacramento,"Broderick, Bryte, W Sacramento",CA,Yolo County,38.59,-121.54,9280,
95606,Brooks,,CA,Yolo County,38.8,-122.18,0,
95607,Capay,Esparto,CA,Yolo County,38.69,-122.12,0,
95608,Carmichael,,CA,Sacramento County,38.62,-121.32,45450,
95609,Carmichael,,CA,Sacramento County,38.62,-121.32,1515,
95610,Citrus Heights,Citrus Hts,CA,Sacramento County,38.69,-121.26,32886,
95611,Citrus Heights,Citrus Hts,CA,Sacramento County,38.7,-121.28,1216,
95612,Clarksburg,,CA,Yolo County,38.37,-121.58,1189,
95613,Coloma,,CA,El Dorado County,38.8,-120.88,444,
95614,Cool,,CA,El Dorado County,38.88,-120.98,3415,
95615,Courtland,,CA,Sacramento County,38.31,-121.54,753,
95616,Davis,,CA,Yolo County,38.48,-121.64,25761,
95617,Davis,,CA,Yolo County,38.54,-121.72,1820,
95618,Davis,El Macero,CA,Yolo County,38.53,-121.66,17799,
95619,Diamond Springs,Diamond Spgs,CA,El Dorado County,38.67,-120.81,4471,
95620,Dixon,Liberty Farms,CA,Solano County,38.39,-121.81,16600,
95621,Citrus Heights,Citrus Hts,CA,Sacramento County,38.69,-121.31,31963,
95623,El Dorado,,CA,El Dorado County,38.6,-120.84,3901,
95624,Elk Grove,,CA,Sacramento County,38.44,-121.3,48052,
95625,Elmira,,CA,Solano County,38.35,-121.9,0,
95626,Elverta,,CA,Sacramento County,38.73,-121.46,4879,
95627,Esparto,,CA,Yolo County,38.78,-122.12,2896,
95628,Fair Oaks,,CA,Sacramento County,38.65,-121.25,34479,
95629,Fiddletown,,CA,Amador County,38.52,-120.7,742,
95630,Folsom,,CA,Sacramento County,38.67,-121.14,53688,
95631,Foresthill,,CA,Placer County,39.03,-120.82,5104,
95632,Galt,,CA,Sacramento County,38.27,-121.22,22306,
95633,Garden Valley,,CA,El Dorado County,38.84,-120.83,2517,
95634,Georgetown,,CA,El Dorado County,38.93,-120.77,2459,
95635,Greenwood,,CA,El Dorado County,38.92,-120.89,958,
95636,Grizzly Flats,,CA,El Dorado County,38.64,-120.51,723,
95637,Guinda,,CA,Yolo County,38.8,-122.18,0,
95638,Herald,,CA,Sacramento County,38.33,-121.14,1831,
95639,Hood,,CA,Sacramento County,38.35,-121.5,0,
95640,Ione,,CA,Amador County,38.33,-120.88,5808,
95641,Isleton,,CA,Sacramento County,38.16,-121.59,1486,
95642,Jackson,,CA,Amador County,38.35,-120.77,6104,
95644,Kit Carson,Pioneer,CA,El Dorado County,38.45,-120.52,0,
95645,Knights Landing,Knights Lndg,CA,Sutter County,38.89,-121.8,1285,
95646,Kirkwood,Pioneer,CA,Amador County,38.69,-120.05,0,
95648,Lincoln,,CA,Placer County,38.93,-121.25,38746,
95650,Loomis,,CA,Placer County,38.81,-121.16,10909,
95651,Lotus,,CA,El Dorado County,38.81,-120.93,625,
95652,Mcclellan,,CA,Sacramento County,38.66,-121.4,0,
95653,Madison,,CA,Yolo County,38.67,-121.96,493,
95654,Martell,Jackson,CA,Amador County,38.36,-120.79,0,
95655,Mather,,CA,Sacramento County,38.54,-121.28,3200,
95656,Mount Aukum,,CA,El Dorado County,38.56,-120.71,644,
95658,Newcastle,,CA,Placer County,38.87,-121.15,5562,
95659,Nicolaus,"East Nicolaus, Trowbridge",CA,Sutter County,38.83,-121.58,614,
